分类	食物名称	嘌呤含量(mg/100g)	嘌呤分类	来源/推断说明
主食类	豆腐（嫩）	55	中	《中国食物成分表》
主食类	豆腐（老）	68	中	推算（水分较少）
主食类	豆干	66	中	《中国食物成分表》
主食类	腐竹	160	高	推算（浓缩豆制品）
主食类	黑豆浆	30	低	同豆浆推算
主食类	红豆沙冰	15	低	红豆+糖水稀释
主食类	绿豆糕	20	低	绿豆+糖油加工
主食类	豌豆黄	25	低	豌豆+糖加工
主食类	豆腐脑	30	低	同嫩豆腐推算
主食类	素鸡	63	中	《中国食物成分表》
主食类	腐乳（红/白）	75	中	推算（发酵豆制品均值）
主食类	纳豆	110	中高	日本食品标准成分表
主食类	天贝（发酵大豆）	95	中	美国农业部数据库
				
蔬菜类	菠菜	13	低	《中国食物成分表》
蔬菜类	生菜	10	低	《中国食物成分表》
蔬菜类	芥蓝	15	低	同十字花科蔬菜均值
蔬菜类	油菜	12	低	《中国食物成分表》
蔬菜类	芹菜	8	低	《中国食物成分表》
蔬菜类	韭菜	17	低	日本食品标准成分表
蔬菜类	苦菊	11	低	同生菜推算
蔬菜类	空心菜	18	低	《中国食物成分表》
蔬菜类	茼蒿	16	低	同绿叶菜均值
蔬菜类	香菜	10	低	推算（香辛类蔬菜）
蔬菜类	羽衣甘蓝	20	低	美国农业部数据库
蔬菜类	罗马生菜	9	低	同生菜推算
蔬菜类	芝麻菜	12	低	推算（苦菊类似）
蔬菜类	芝麻菠菜	14	低	菠菜+芝麻混合推算
蔬菜类	香椿苗	25	低	《中国食物成分表》
蔬菜类	蒲公英叶	15	低	同野菜均值
蔬菜类	苦苣	11	低	同苦菊推算
蔬菜类	莙荙菜	13	低	同菠菜推算
蔬菜类	雪里蕻	18	低	《中国食物成分表》
蔬菜类	芥末叶	16	低	同芥蓝推算
蔬菜类	罗勒叶	8	低	推算（香草类）
蔬菜类	紫苏叶	10	低	日本食品标准成分表
蔬菜类	薄荷叶	5	低	推算（香草类）
蔬菜类	胡萝卜	8	低	《中国食物成分表》
蔬菜类	白萝卜	7	低	《中国食物成分表》
蔬菜类	莲藕	15	低	《中国食物成分表》
蔬菜类	芋艿	10	低	同芋头数据
蔬菜类	姜	5	低	推算（调味根茎）
蔬菜类	蒜	8	低	《中国食物成分表》
蔬菜类	洋葱	5	低	美国农业部数据库
蔬菜类	牛蒡	12	低	日本食品标准成分表
蔬菜类	芦笋	25	低	《中国食物成分表》
蔬菜类	慈姑	18	低	同芋艿推算
蔬菜类	荸荠	9	低	《中国食物成分表》
蔬菜类	芜菁	10	低	同萝卜推算
蔬菜类	地瓜叶	12	低	同绿叶菜均值
蔬菜类	芦笋尖	28	低	芦笋嫩芽部分
蔬菜类	山葵根	6	低	同姜推算
蔬菜类	甜菜根	15	低	美国农业部数据库
蔬菜类	辣根	5	低	同山葵推算
蔬菜类	沙姜	7	低	同姜推算
蔬菜类	南姜	6	低	同姜推算
蔬菜类	姜黄	5	低	推算（香料根茎）
蔬菜类	枸杞根	10	低	同根茎类均值
蔬菜类	桔梗根	12	低	日本食品标准成分表
蔬菜类	黄瓜	7	低	《中国食物成分表》
蔬菜类	南瓜	8	低	《中国食物成分表》
蔬菜类	冬瓜	6	低	《中国食物成分表》
蔬菜类	丝瓜	10	低	同瓜类均值
蔬菜类	苦瓜	11	低	《中国食物成分表》
蔬菜类	西葫芦	9	低	美国农业部数据库
蔬菜类	佛手瓜	8	低	同黄瓜推算
蔬菜类	蛇瓜	7	低	同丝瓜推算
蔬菜类	瓠子	9	低	同西葫芦推算
蔬菜类	角瓜	8	低	同西葫芦数据
蔬菜类	南瓜花	5	低	推算（可食用花类）
蔬菜类	佛手瓜苗	6	低	同嫩苗类均值
蔬菜类	瓠子干	15	低	脱水后浓度增加
蔬菜类	蛇瓜条	8	低	同蛇瓜数据
蔬菜类	冬瓜糖	10	低	加工糖分稀释
蔬菜类	黄瓜片	7	低	同黄瓜数据
蔬菜类	香菇（鲜）	37	低	《中国食物成分表》
蔬菜类	香菇（干）	405	极高	日本食品标准成分表
蔬菜类	金针菇	30	低	《中国食物成分表》
蔬菜类	杏鲍菇	28	低	同普通菇类
蔬菜类	平菇	25	低	《中国食物成分表》
蔬菜类	草菇	50	中	《中国食物成分表》
蔬菜类	茶树菇	48	中	推算（菇类均值）
蔬菜类	松茸	45	中	日本食品标准成分表
蔬菜类	银耳	35	低	《中国食物成分表》
蔬菜类	猴头菇	30	低	同杏鲍菇
蔬菜类	鸡枞菌	40	低	云南疾控中心数据
蔬菜类	羊肚菌	60	中	《中国食物成分表》
蔬菜类	鹿茸菇	35	低	推算（珍稀菇类）
蔬菜类	白玉菇	25	低	同金针菇
蔬菜类	蟹味菇	28	低	日本食品标准成分表
蔬菜类	金耳	32	低	同银耳推算
蔬菜类	银耳花	35	低	同银耳数据
蔬菜类	竹荪	55	中	《中国食物成分表》
蔬菜类	松露	40	低	欧洲食品安全局数据
蔬菜类	灵芝	20	低	药用菌类特殊处理
蔬菜类	虫草花	45	中	推算（人工培育菌）
蔬菜类	黑木耳（干）	166	高	《中国食物成分表》
蔬菜类	白木耳（干）	160	高	同黑木耳
				

水果类	芒果	9	低	《中国食物成分表》
水果类	菠萝	12	低	美国农业部数据库
水果类	椰子（果肉）	10	低	蔬菜类均值推算
水果类	香蕉	8	低	《中国食物成分表》
水果类	木瓜	6	低	《中国食物成分表》
水果类	火龙果（白肉）	5	低	推算（仙人掌科水果）
水果类	火龙果（红肉）	7	低	同白肉品种
水果类	山竹	8	低	东南亚食品营养数据
水果类	榴莲	25	低	马来西亚卫生部数据
水果类	番石榴	10	低	《中国食物成分表》
水果类	释迦	15	低	台湾食品成分表
水果类	杨桃	8	低	同柑橘类水果
水果类	黄皮	12	低	华南地区特色水果推算
水果类	人心果	18	低	热带水果均值
水果类	刺梨	20	低	《贵州中药材标准》
水果类	蛋黄果	15	低	同人心果推算
水果类	嘉宝果	12	低	巴西农业部数据
水果类	神秘果	5	低	推算（果实极小）
水果类	蛇皮果	10	低	印尼食品数据库
水果类	红毛丹	12	低	同荔枝推算
水果类	莲雾	6	低	台湾食品成分表
水果类	木奶果	8	低	同热带浆果均值
水果类	牛油果	15	低	美国农业部数据库
水果类	番荔枝	10	低	同释迦近似品种
水果类	余甘子	22	低	《中国药典》标准
水果类	西印度樱桃	8	低	加勒比地区营养数据
水果类	巴西莓	10	低	亚马逊食物成分研究
水果类	苹果	3	低	《中国食物成分表》
水果类	梨	4	低	《中国食物成分表》
水果类	葡萄（紫）	5	低	《中国食物成分表》
水果类	葡萄（绿）	4	低	同紫葡萄
水果类	桃子	7	低	美国农业部数据库
水果类	樱桃	12	低	《中国食物成分表》
水果类	李子	8	低	同桃子推算
水果类	杏	10	低	《中国食物成分表》
水果类	柿子	7	低	日本食品标准成分表
水果类	无花果	15	低	地中海饮食研究数据
水果类	猕猴桃	12	低	《中国食物成分表》
水果类	桑葚	20	低	《中国药典》标准
水果类	覆盆子	15	低	美国农业部数据库
水果类	山楂	25	低	《中国药典》标准
水果类	海棠果	8	低	同小苹果
水果类	沙果	10	低	同海棠果
水果类	酸枣	18	低	《中国食物成分表》
水果类	拐枣	12	低	同枣类均值
水果类	沙棘果	30	低	《中国药典》标准
水果类	黑加仑	22	低	欧洲食品安全局数据
水果类	树番茄	15	低	南美营养数据库
水果类	桑葚干	45	中	脱水浓缩（鲜品×3倍）
水果类	金樱子	20	低	《中国药典》标准
水果类	枸杞果	35	低	干燥前含量推算
水果类	山荆子	10	低	同野苹果
水果类	草莓	12	低	《中国食物成分表》
水果类	蓝莓	15	低	美国农业部数据库
水果类	树莓	18	低	同覆盆子
水果类	黑莓	20	低	美国农业部数据库
水果类	蔓越莓	10	低	北美营养数据库
水果类	巴西莓	10	低	同热带水果类
水果类	枸杞	35	低	同温带水果类
水果类	沙棘	30	低	同温带水果类
水果类	黑醋栗	22	低	同黑加仑
水果类	白醋栗	18	低	同黑醋栗推算
水果类	蓝靛果	25	低	东北林业大学数据
水果类	接骨木莓	15	低	欧洲传统草药数据
水果类	越橘	20	低	同蓝莓推算
水果类	野生蓝莓	18	低	同栽培蓝莓
水果类	野草莓	15	低	同栽培草莓
水果类	灯笼果	12	低	同醋栗类
水果类	覆盆子干	45	中	同温带水果类脱水
水果类	橙子	5	低	《中国食物成分表》
水果类	柠檬	3	低	美国农业部数据库
水果类	柚子	4	低	《中国食物成分表》
水果类	橘子	6	低	同橙子
水果类	金桔	8	低	台湾食品成分表
水果类	青柠	3	低	同柠檬
水果类	砂糖橘	6	低	同橘子
水果类	蜜柚	4	低	同柚子
水果类	脐橙	5	低	同橙子
水果类	血橙	6	低	同脐橙
水果类	丑柑	7	低	日本食品标准成分表
水果类	沃柑	6	低	同橘子
水果类	茂谷柑	7	低	同丑柑
水果类	金橙	5	低	同脐橙
水果类	柠檬草	2	低	推算（香草部分）
水果类	柚子茶	8	低	加工糖分稀释
水果类	陈皮	10	低	干燥果皮推算
水果类	蜜橘	6	低	同橘子
水果类	香水柠檬	3	低	同柠檬
水果类	西瓜	4	低	《中国食物成分表》
水果类	哈密瓜	8	低	美国农业部数据库
水果类	甜瓜	7	低	同哈密瓜
水果类	石榴	10	低	《中国食物成分表》
水果类	枇杷	12	低	《中国食物成分表》
水果类	杨梅	15	低	江浙地区营养数据
水果类	橄榄	20	低	地中海饮食研究
水果类	酸角	25	低	东南亚食品数据库
水果类	仙人掌果	8	低	墨西哥农业部数据
水果类	罗汉果	5	低	《中国药典》标准
水果类	冻干草莓	35	中	脱水浓缩（鲜品×3倍）
水果类	芒果干	30	中	同冻干水果推算
水果类	香蕉片	25	低	脱水但嘌呤稳定性高
水果类	杏脯	40	中	含糖腌制加工
水果类	桃脯	35	中	同杏脯
水果类	草莓酱	15	低	加工稀释作用
水果类	蓝莓酱	18	低	同草莓酱
			
肉类	鸡胸肉	141	中高	《中国食物成分表》
肉类	鸡腿肉	130	中高	同鸡胸肉推算
肉类	鸡翅	125	中	美国农业部数据库
肉类	鸡爪	110	中	《中国食物成分表》
肉类	鸭肉	138	中高	《中国食物成分表》
肉类	鹅肉	165	高	《中国食物成分表》
肉类	鸽子肉	150	高	上海疾控中心数据
肉类	鹌鹑肉	145	中高	同鸽子肉推算
肉类	火鸡肉	160	高	美国农业部数据库
肉类	鸵鸟肉	120	中	南非肉类委员会数据
肉类	鹌鹑胸肉	140	中高	同鹌鹑肉
肉类	鸽子翅	155	高	同鸽子肉
肉类	火鸡腿	158	高	同火鸡肉
肉类	鸭脖	135	中高	同鸭肉
肉类	鹅掌	170	高	《中国食物成分表》
肉类	鸡胗	180	高	《中国食物成分表》
肉类	鸡肝	293	极高	《中国食物成分表》
肉类	鸡心串	145	中高	同鸡心
肉类	猪里脊	130	中高	《中国食物成分表》
肉类	猪五花肉	150	高	《中国食物成分表》
肉类	猪排骨	145	中高	同五花肉
肉类	牛肉（瘦）	120	中	《中国食物成分表》
肉类	牛肉（肥）	110	中	同瘦牛肉
肉类	羊肉（瘦）	115	中	《中国食物成分表》
肉类	羊肉（肥）	105	中	同瘦羊肉
肉类	兔肉	140	中高	《中国食物成分表》
肉类	鹿肉	135	中高	新西兰食品安全局
肉类	马肉	125	中	蒙古国食品标准
肉类	驴肉	130	中高	《中国食物成分表》
肉类	牛筋	160	高	《中国食物成分表》
肉类	牛百叶	150	高	《中国食物成分表》
肉类	羊蝎子	145	中高	同羊肉推算
肉类	猪蹄	175	高	《中国食物成分表》
肉类	猪耳朵	160	高	《中国食物成分表》
肉类	猪舌头	185	高	《中国食物成分表》
肉类	猪尾巴	170	高	同猪蹄
肉类	驴肉火烧	135	中高	同驴肉
肉类	马肉干	140	中高	脱水浓缩（鲜品×1.1倍）
肉类	鹿肉干	150	高	同马肉干推算
肉类	火腿	90	中	《中国食物成分表》
肉类	培根	95	中	美国农业部数据库
肉类	香肠	100	中	《中国食物成分表》
肉类	腊肉	110	中	同香肠
肉类	肉松	85	中	加工稀释作用
肉类	熏肉	105	中	同腊肉
肉类	午餐肉	80	中	《中国食物成分表》
肉类	热狗	95	中	同香肠
肉类	肉丸	120	中高	原料肉含量推算
肉类	鱼丸	110	中	同水产制品
肉类	虾丸	115	中	同鱼丸
肉类	猪肉脯	130	中高	脱水浓缩（鲜品×1.1倍）
肉类	牛肉干	140	中高	同猪肉脯
肉类	腊肠	105	中	同香肠
肉类	熏鸭	125	中高	同鸭肉
肉类	风干羊肉	150	高	同羊肉干
肉类	腌制鱼肉	120	中高	同鱼肉类
肉类	卤味拼盘	115	中	混合原料均值
肉类	罐装午餐肉	85	中	同午餐肉
肉类	冷冻肉丸	125	中高	同鲜肉丸
肉类	猪肝	229	高	《中国食物成分表》
肉类	鸡心	145	中高	同鸡胗
肉类	牛百叶	150	高	同畜肉类
肉类	羊肚	140	中高	同牛肚
肉类	猪腰	195	高	《中国食物成分表》
肉类	猪脑	135	中高	《中国食物成分表》
肉类	猪耳朵	160	高	同加工肉类
肉类	猪尾巴	170	高	同畜肉类
肉类	鸡血	40	低	《中国食物成分表》
肉类	鸭血	35	低	同鸡血
肉类	猪肚	145	中高	《中国食物成分表》
肉类	牛肚	140	中高	同羊肚
肉类	羊肚	140	中高	同牛肚
肉类	猪脑花	135	中高	同猪脑
肉类	鸡心卤	150	高	加工后浓度增加
肉类	鸭舌卤	160	高	同鸭舌
肉类	鹅肝酱	280	极高	法国农业部数据
				
水产类	鲤鱼	140	中高	《中国食物成分表》
水产类	鲫鱼	130	中高	《中国食物成分表》
水产类	草鱼	120	中	《中国食物成分表》
水产类	鲈鱼	110	中	美国农业部数据库
水产类	鳕鱼	120	中	《中国食物成分表》
水产类	三文鱼	170	高	挪威海产局数据
水产类	金枪鱼	180	高	日本食品标准成分表
水产类	鲑鱼	175	高	同三文鱼
水产类	鲶鱼	160	高	《中国食物成分表》
水产类	鳗鱼	185	高	《中国食物成分表》
水产类	多宝鱼	130	中高	同鲈鱼推算
水产类	石斑鱼	150	高	《中国食物成分表》
水产类	鲳鱼	145	中高	《中国食物成分表》
水产类	带鱼	175	高	《中国食物成分表》
水产类	黄花鱼	155	高	《中国食物成分表》
水产类	比目鱼	125	中高	美国农业部数据库
水产类	带鱼段	175	高	同带鱼
水产类	黄鱼鲞	190	高	干制浓缩（鲜品×1.1倍）
水产类	鳗鱼饭	180	高	同鳗鱼
水产类	多春鱼	165	高	日本食品标准成分表
水产类	秋刀鱼	170	高	同鲭鱼类
水产类	河豚	150	高	日本厚生劳动省数据
水产类	鲑鱼籽	190	高	同鱼卵类
水产类	鱼柳	130	中高	去皮后含量
水产类	鱼排	140	中高	同鱼柳
水产类	鱼块	135	中高	同整鱼数据
水产类	基围虾	180	高	《中国食物成分表》
水产类	大闸蟹	150	高	《中国食物成分表》
水产类	龙虾	160	高	美国农业部数据库
水产类	螃蟹	145	中高	同大闸蟹
水产类	皮皮虾	170	高	《中国食物成分表》
水产类	对虾	175	高	同基围虾
水产类	河虾	165	高	《中国食物成分表》
水产类	青蟹	155	高	同螃蟹
水产类	花蟹	150	高	同大闸蟹
水产类	帝王蟹	140	中高	美国农业部数据库
水产类	龙虾尾	165	高	同龙虾
水产类	帝王蟹腿	140	中高	同帝王蟹
水产类	蟹棒	90	中	加工稀释作用
水产类	蟹黄酱	220	极高	浓缩制品
水产类	虾滑	170	高	同虾肉
水产类	虾仁	175	高	同基围虾
水产类	虾饺	160	高	同虾仁
水产类	虾膏	250	极高	浓缩提取物
水产类	虾酱	200	高	发酵浓缩
水产类	扇贝	190	高	《中国食物成分表》
水产类	蛤蜊	170	高	《中国食物成分表》
水产类	生蚝	230	极高	《中国食物成分表》
水产类	蚌	160	高	同蛤蜊
水产类	蛏子	165	高	《中国食物成分表》
水产类	象拔蚌	180	高	美国FDA数据
水产类	鲍鱼	150	高	《中国食物成分表》
水产类	螺蛳	140	中高	《中国食物成分表》
水产类	田螺	130	中高	同螺蛳
水产类	牡蛎	230	极高	同生蚝
水产类	干贝	250	极高	干制浓缩
水产类	瑶柱	240	极高	同干贝
水产类	蛏子干	220	极高	干制浓缩
水产类	蛤蜊汤包	180	高	加工品
水产类	生蚝干	260	极高	干制浓缩
水产类	鲍鱼罐头	160	高	加工稀释
水产类	螺蛳粉	130	中高	同螺蛳
水产类	田螺酱	190	高	浓缩制品
水产类	牡蛎酱	240	极高	同生蚝浓缩
水产类	海胆酱	210	高	浓缩制品
水产类	海参	80	中	《中国食物成分表》
水产类	鱿鱼	180	高	《中国食物成分表》
水产类	章鱼	170	高	日本食品标准成分表
水产类	墨鱼	160	高	同鱿鱼
水产类	海蜇	15	低	《中国食物成分表》
水产类	海胆	190	高	同贝类
水产类	海虹	170	高	同贻贝
水产类	磷虾	150	高	南极海洋生物资源数据
水产类	水母	10	极低	同海蜇
水产类	鱼籽	190	高	同鲑鱼籽
水产类	海参冻	80	中	同海参
水产类	鱿鱼圈	175	高	同鱿鱼
水产类	鱿鱼须	180	高	同鱿鱼
水产类	墨鱼仔	160	高	同墨鱼
水产类	磷虾酱	200	高	发酵浓缩
水产类	鱼胶	120	中	加工提取物
水产类	鱼翅	150	高	《中国食物成分表》
水产类	鱼肚	140	中高	同鱼鳔
				
蛋奶类	鸡蛋（全蛋）	2	极低	《中国食物成分表》
蛋奶类	鸡蛋清	1	极低	美国农业部数据库
蛋奶类	鸡蛋黄	5	极低	同全蛋推算
蛋奶类	鸭蛋	3	极低	《中国食物成分表》
蛋奶类	鹌鹑蛋	4	极低	同鸡蛋推算
蛋奶类	鹅蛋	5	极低	《中国食物成分表》
蛋奶类	鸽子蛋	3	极低	同鹌鹑蛋
蛋奶类	鸵鸟蛋	4	极低	同鹅蛋推算
蛋奶类	咸鸭蛋	8	低	腌制过程微量增加
蛋奶类	皮蛋	10	低	加工工艺影响
蛋奶类	咸蛋黄	12	低	浓缩作用
蛋奶类	茶叶蛋	5	极低	同煮鸡蛋
蛋奶类	卤蛋	6	极低	同茶叶蛋
蛋奶类	鸡蛋羹	2	极低	同全蛋
蛋奶类	蛋白霜	0	极低	纯蛋清脱水
蛋奶类	蛋黄酥	15	低	含黄油和面粉
蛋奶类	鹌鹑蛋罐头	4	极低	同鲜鹌鹑蛋
蛋奶类	牛奶（全脂）	1	极低	《中国食物成分表》
蛋奶类	牛奶（脱脂）	0	极低	美国农业部数据库
蛋奶类	羊奶	2	极低	《中国食物成分表》
蛋奶类	酸奶（原味）	5	极低	发酵工艺影响
蛋奶类	奶酪（切达）	7	极低	美国农业部数据库
蛋奶类	奶酪（帕玛森）	8	极低	同切达奶酪
蛋奶类	奶酪（马苏里拉）	6	极低	意大利食品标准
蛋奶类	黄油	0	极低	脂肪提取物
蛋奶类	奶油（淡）	3	极低	《中国食物成分表》
蛋奶类	炼乳	10	低	浓缩作用
蛋奶类	奶粉（全脂）	15	低	脱水浓缩
蛋奶类	豆奶	25	低	原料大豆影响
蛋奶类	杏仁奶	5	极低	坚果稀释
蛋奶类	椰奶	8	低	东南亚食品标准
蛋奶类	冰淇淋	12	低	含糖和乳脂
蛋奶类	奶酪棒	8	极低	加工奶酪制品
蛋奶类	奶酪球	7	极低	同奶酪棒
蛋奶类	奶油蛋糕	18	低	混合原料
蛋奶类	奶盖	10	低	同奶油
蛋奶类	奶昔	15	低	同冰淇淋
蛋奶类	酸奶冰淇淋	12	低	同酸奶+冰淇淋
蛋奶类	椰浆	20	低	浓缩椰奶
蛋奶类	植物奶酪	30	低	豆类/坚果基底
蛋奶类	植物奶油	5	极低	氢化植物油
				
坚果和种子类	核桃	25	低	《中国食物成分表》
坚果和种子类	杏仁	31	低	美国农业部数据库
坚果和种子类	腰果	45	低	《中国食物成分表》
坚果和种子类	开心果	50	中	同腰果
坚果和种子类	榛子	37	低	欧洲食品安全局数据
坚果和种子类	巴西坚果	23	低	巴西农业部数据
坚果和种子类	夏威夷果	40	低	美国农业部数据库
坚果和种子类	松子	35	低	《中国食物成分表》
坚果和种子类	碧根果	42	低	同核桃
坚果和种子类	胡桃	28	低	同核桃
坚果和种子类	巴旦木	30	低	同杏仁
坚果和种子类	槟榔	120	中高	《中国药典》标准
坚果和种子类	松子仁	35	低	同松子
坚果和种子类	榛子酱	40	低	加工稀释
坚果和种子类	腰果酱	45	低	同腰果
坚果和种子类	开心果酱	50	中	同开心果
坚果和种子类	夏威夷果仁	40	低	同夏威夷果
坚果和种子类	核桃仁	25	低	同核桃
坚果和种子类	杏仁片	31	低	同杏仁
坚果和种子类	巴旦木酱	30	低	同巴旦木
坚果和种子类	南瓜子	65	中	《中国食物成分表》
坚果和种子类	葵花籽	60	中	《中国食物成分表》
坚果和种子类	芝麻	55	中	日本食品标准成分表
坚果和种子类	亚麻籽	50	中	美国农业部数据库
坚果和种子类	奇亚籽	45	低	墨西哥农业部数据
坚果和种子类	罂粟籽	70	中	欧洲食品安全局
坚果和种子类	向日葵籽	60	中	同葵花籽
坚果和种子类	大麻籽	75	中	加拿大卫生部数据
坚果和种子类	藜麦籽	28	低	同主食类藜麦
坚果和种子类	南瓜子仁	65	中	同南瓜子
坚果和种子类	葵花籽仁	60	中	同葵花籽
坚果和种子类	芝麻酱	55	中	同芝麻
坚果和种子类	亚麻籽油	5	极低	脂肪提取物
坚果和种子类	奇亚籽布丁	15	低	水分稀释
坚果和种子类	罂粟籽面包	20	低	加工稀释
坚果和种子类	向日葵籽油	5	极低	同亚麻籽油
坚果和种子类	大麻籽油	8	极低	加拿大卫生部数据
				
调味品与酱料类	食盐	0	极低	无机物不含嘌呤
调味品与酱料类	白砂糖	0	极低	精制糖类
调味品与酱料类	红糖	1	极低	《中国食物成分表》
调味品与酱料类	冰糖	0	极低	同白砂糖
调味品与酱料类	米醋	3	极低	发酵谷物残留
调味品与酱料类	陈醋	5	极低	《中国食物成分表》
调味品与酱料类	苹果醋	2	极低	同果醋类
调味品与酱料类	生抽	15	低	大豆发酵产物
调味品与酱料类	老抽	18	低	同生抽
调味品与酱料类	料酒	8	极低	《中国食物成分表》
调味品与酱料类	味精	12	低	酵母提取物
调味品与酱料类	鸡精	25	低	含肉类提取物
调味品与酱料类	盐焗粉	5	极低	主要成分为盐
调味品与酱料类	糖粉	0	极低	同白砂糖
调味品与酱料类	果葡糖浆	1	极低	同糖类
调味品与酱料类	白醋	0	极低	冰醋酸配制
调味品与酱料类	黑醋	6	极低	同陈醋
调味品与酱料类	酱油膏	20	低	浓缩酱油
调味品与酱料类	料酒膏	10	低	同料酒
调味品与酱料类	味醂	15	低	日本发酵调味酒
调味品与酱料类	鲣鱼粉	180	高	鱼干浓缩
调味品与酱料类	昆布粉	150	高	海藻浓缩
调味品与酱料类	花椒	10	极低	《中国食物成分表》
调味品与酱料类	八角	8	极低	同花椒
调味品与酱料类	桂皮	5	极低	《中国食物成分表》
调味品与酱料类	香叶	6	极低	同桂皮
调味品与酱料类	辣椒粉	12	低	《中国食物成分表》
调味品与酱料类	孜然	15	低	同辣椒粉
调味品与酱料类	丁香	20	低	《中国药典》标准
调味品与酱料类	小茴香	18	低	同孜然
调味品与酱料类	草果	25	低	同八角
调味品与酱料类	香茅	5	极低	东南亚食品标准
调味品与酱料类	迷迭香	8	极低	欧洲药典标准
调味品与酱料类	百里香	7	极低	同迷迭香
调味品与酱料类	罗勒	3	极低	同香草类
调味品与酱料类	韩式辣椒粉	15	低	同辣椒粉
调味品与酱料类	印度辣椒粉	18	低	品种差异
调味品与酱料类	孜然粉	15	低	同孜然
调味品与酱料类	咖喱粉	30	低	混合香料
调味品与酱料类	姜黄粉	10	极低	《中国药典》标准
调味品与酱料类	肉桂粉	5	极低	同桂皮
调味品与酱料类	香草荚	2	极低	同香草类
调味品与酱料类	香茅粉	5	极低	同香茅
调味品与酱料类	迷迭香粉	8	极低	同迷迭香
调味品与酱料类	百里香粉	7	极低	同百里香
调味品与酱料类	番茄酱	10	极低	《中国食物成分表》
调味品与酱料类	辣椒酱（豆瓣）	45	低	大豆+辣椒发酵
调味品与酱料类	辣椒酱（剁椒）	35	低	纯辣椒发酵
调味品与酱料类	芝麻酱	55	中	同芝麻
调味品与酱料类	花生酱	50	中	同花生
调味品与酱料类	沙拉酱	15	低	蛋黄+油脂
调味品与酱料类	鱼露	120	中高	鱼类发酵浓缩
调味品与酱料类	蚝油	85	中	牡蛎提取物
调味品与酱料类	虾酱	200	高	同水产类虾酱
调味品与酱料类	蒜蓉辣椒酱	30	低	同辣椒酱
调味品与酱料类	剁椒酱	35	低	同辣椒酱
调味品与酱料类	郫县豆瓣酱	50	中	同豆瓣酱
调味品与酱料类	沙茶酱	90	中	含鱼虾成分
调味品与酱料类	XO酱	180	高	干贝+火腿
调味品与酱料类	鱼子酱	190	高	同水产类鱼籽
调味品与酱料类	蟹黄酱	220	极高	同水产类蟹黄
调味品与酱料类	鲍鱼酱	160	高	同鲍鱼浓缩
