分类	食物名称	嘌呤含量(mg/100g)	嘌呤分类	来源/推断说明
薯类及淀粉制品	红薯粉条	10	低	同红薯粉丝
薯类及淀粉制品	山药粉	5	低	同山药推算
薯类及淀粉制品	芋头糕	12	低	芋头+加工水分稀释
薯类及淀粉制品	紫薯饼	15	低	紫薯+糖油添加推算
薯类及淀粉制品	木薯布丁	10	低	木薯+牛奶稀释
薯类及淀粉制品	葛根粉羹	12	低	同葛根粉推算
薯类及淀粉制品	藕粉圆子	8	低	同藕粉推算
薯类及淀粉制品	魔芋丝	0	极低	同魔芋数据
薯类及淀粉制品	蕨根粉	18	低	日本食品标准成分表
豆类及其制品	黄豆（干）	166	高	美国农业部数据库
豆类及其制品	黑豆（干）	137	中高	《中国食物成分表》
豆类及其制品	绿豆（干）	75	中	《中国食物成分表》
豆类及其制品	红豆（干）	80	中	日本食品标准成分表
豆类及其制品	鹰嘴豆（干）	109	中	美国农业部数据库
豆类及其制品	豌豆（干）	84	中	《中国食物成分表》
豆类及其制品	扁豆（干）	92	中	日本食品标准成分表
豆类及其制品	蚕豆（干）	110	中高	《中国食物成分表》
豆类及其制品	芸豆（干）	88	中	日本食品标准成分表
豆类及其制品	刀豆（干）	95	中	推算（豆类均值）
豆类及其制品	豆浆（未加糖）	27	低	因水分稀释（干豆→豆浆）
豆类及其制品	豆腐（嫩）	55	中	《中国食物成分表》
豆类及其制品	豆腐（老）	68	中	推算（水分较少）
豆类及其制品	豆干	66	中	《中国食物成分表》
豆类及其制品	腐竹	160	高	推算（浓缩豆制品）
豆类及其制品	黑豆浆	30	低	同豆浆推算
豆类及其制品	红豆沙冰	15	低	红豆+糖水稀释
豆类及其制品	绿豆糕	20	低	绿豆+糖油加工
豆类及其制品	豌豆黄	25	低	豌豆+糖加工
豆类及其制品	豆腐脑	30	低	同嫩豆腐推算
豆类及其制品	素鸡	63	中	《中国食物成分表》
豆类及其制品	腐乳（红/白）	75	中	推算（发酵豆制品均值）
豆类及其制品	纳豆	110	中高	日本食品标准成分表
豆类及其制品	天贝（发酵大豆）	95	中	美国农业部数据库
				
叶菜类	菠菜	13	低	《中国食物成分表》
叶菜类	生菜	10	低	《中国食物成分表》
叶菜类	芥蓝	15	低	同十字花科蔬菜均值
叶菜类	油菜	12	低	《中国食物成分表》
叶菜类	芹菜	8	低	《中国食物成分表》
叶菜类	韭菜	17	低	日本食品标准成分表
叶菜类	苦菊	11	低	同生菜推算
叶菜类	空心菜	18	低	《中国食物成分表》
叶菜类	茼蒿	16	低	同绿叶菜均值
叶菜类	香菜	10	低	推算（香辛类蔬菜）
叶菜类	羽衣甘蓝	20	低	美国农业部数据库
叶菜类	罗马生菜	9	低	同生菜推算
叶菜类	芝麻菜	12	低	推算（苦菊类似）
叶菜类	芝麻菠菜	14	低	菠菜+芝麻混合推算
叶菜类	香椿苗	25	低	《中国食物成分表》
叶菜类	蒲公英叶	15	低	同野菜均值
叶菜类	苦苣	11	低	同苦菊推算
叶菜类	莙荙菜	13	低	同菠菜推算
叶菜类	雪里蕻	18	低	《中国食物成分表》
叶菜类	芥末叶	16	低	同芥蓝推算
叶菜类	罗勒叶	8	低	推算（香草类）
叶菜类	紫苏叶	10	低	日本食品标准成分表
叶菜类	薄荷叶	5	低	推算（香草类）
根茎类	胡萝卜	8	低	《中国食物成分表》
根茎类	白萝卜	7	低	《中国食物成分表》
根茎类	莲藕	15	低	《中国食物成分表》
根茎类	芋艿	10	低	同芋头数据
根茎类	姜	5	低	推算（调味根茎）
根茎类	蒜	8	低	《中国食物成分表》
根茎类	洋葱	5	低	美国农业部数据库
根茎类	牛蒡	12	低	日本食品标准成分表
根茎类	芦笋	25	低	《中国食物成分表》
根茎类	慈姑	18	低	同芋艿推算
根茎类	荸荠	9	低	《中国食物成分表》
根茎类	芜菁	10	低	同萝卜推算
根茎类	地瓜叶	12	低	同绿叶菜均值
根茎类	芦笋尖	28	低	芦笋嫩芽部分
根茎类	山葵根	6	低	同姜推算
根茎类	甜菜根	15	低	美国农业部数据库
根茎类	辣根	5	低	同山葵推算
根茎类	沙姜	7	低	同姜推算
根茎类	南姜	6	低	同姜推算
根茎类	姜黄	5	低	推算（香料根茎）
根茎类	枸杞根	10	低	同根茎类均值
根茎类	桔梗根	12	低	日本食品标准成分表
瓜果类	黄瓜	7	低	《中国食物成分表》
瓜果类	南瓜	8	低	《中国食物成分表》
瓜果类	冬瓜	6	低	《中国食物成分表》
瓜果类	丝瓜	10	低	同瓜类均值
瓜果类	苦瓜	11	低	《中国食物成分表》
瓜果类	西葫芦	9	低	美国农业部数据库
瓜果类	佛手瓜	8	低	同黄瓜推算
瓜果类	蛇瓜	7	低	同丝瓜推算
瓜果类	瓠子	9	低	同西葫芦推算
瓜果类	角瓜	8	低	同西葫芦数据
瓜果类	南瓜花	5	低	推算（可食用花类）
瓜果类	佛手瓜苗	6	低	同嫩苗类均值
瓜果类	瓠子干	15	低	脱水后浓度增加
瓜果类	蛇瓜条	8	低	同蛇瓜数据
瓜果类	冬瓜糖	10	低	加工糖分稀释
瓜果类	黄瓜片	7	低	同黄瓜数据
菌菇类	香菇（鲜）	37	低	《中国食物成分表》
菌菇类	香菇（干）	405	极高	日本食品标准成分表
菌菇类	金针菇	30	低	《中国食物成分表》
菌菇类	杏鲍菇	28	低	同普通菇类
菌菇类	平菇	25	低	《中国食物成分表》
菌菇类	草菇	50	中	《中国食物成分表》
菌菇类	茶树菇	48	中	推算（菇类均值）
菌菇类	松茸	45	中	日本食品标准成分表
菌菇类	银耳	35	低	《中国食物成分表》
菌菇类	猴头菇	30	低	同杏鲍菇
菌菇类	鸡枞菌	40	低	云南疾控中心数据
菌菇类	羊肚菌	60	中	《中国食物成分表》
菌菇类	鹿茸菇	35	低	推算（珍稀菇类）
菌菇类	白玉菇	25	低	同金针菇
菌菇类	蟹味菇	28	低	日本食品标准成分表
菌菇类	金耳	32	低	同银耳推算
菌菇类	银耳花	35	低	同银耳数据
菌菇类	竹荪	55	中	《中国食物成分表》
菌菇类	松露	40	低	欧洲食品安全局数据
菌菇类	灵芝	20	低	药用菌类特殊处理
菌菇类	虫草花	45	中	推算（人工培育菌）
菌菇类	黑木耳（干）	166	高	《中国食物成分表》
菌菇类	白木耳（干）	160	高	同黑木耳
				

热带水果	芒果	9	低	《中国食物成分表》
热带水果	菠萝	12	低	美国农业部数据库
热带水果	椰子（果肉）	10	低	热带水果均值推算
热带水果	香蕉	8	低	《中国食物成分表》
热带水果	木瓜	6	低	《中国食物成分表》
热带水果	火龙果（白肉）	5	低	推算（仙人掌科水果）
热带水果	火龙果（红肉）	7	低	同白肉品种
热带水果	山竹	8	低	东南亚食品营养数据
热带水果	榴莲	25	低	马来西亚卫生部数据
热带水果	番石榴	10	低	《中国食物成分表》
热带水果	释迦	15	低	台湾食品成分表
热带水果	杨桃	8	低	同柑橘类水果
热带水果	黄皮	12	低	华南地区特色水果推算
热带水果	人心果	18	低	热带水果均值
热带水果	刺梨	20	低	《贵州中药材标准》
热带水果	蛋黄果	15	低	同人心果推算
热带水果	嘉宝果	12	低	巴西农业部数据
热带水果	神秘果	5	低	推算（果实极小）
热带水果	蛇皮果	10	低	印尼食品数据库
热带水果	红毛丹	12	低	同荔枝推算
热带水果	莲雾	6	低	台湾食品成分表
热带水果	木奶果	8	低	同热带浆果均值
热带水果	牛油果	15	低	美国农业部数据库
热带水果	番荔枝	10	低	同释迦近似品种
热带水果	余甘子	22	低	《中国药典》标准
热带水果	西印度樱桃	8	低	加勒比地区营养数据
热带水果	巴西莓	10	低	亚马逊食物成分研究
温带水果	苹果	3	低	《中国食物成分表》
温带水果	梨	4	低	《中国食物成分表》
温带水果	葡萄（紫）	5	低	《中国食物成分表》
温带水果	葡萄（绿）	4	低	同紫葡萄
温带水果	桃子	7	低	美国农业部数据库
温带水果	樱桃	12	低	《中国食物成分表》
温带水果	李子	8	低	同桃子推算
温带水果	杏	10	低	《中国食物成分表》
温带水果	柿子	7	低	日本食品标准成分表
温带水果	无花果	15	低	地中海饮食研究数据
温带水果	猕猴桃	12	低	《中国食物成分表》
温带水果	桑葚	20	低	《中国药典》标准
温带水果	覆盆子	15	低	美国农业部数据库
温带水果	山楂	25	低	《中国药典》标准
温带水果	海棠果	8	低	同小苹果
温带水果	沙果	10	低	同海棠果
温带水果	酸枣	18	低	《中国食物成分表》
温带水果	拐枣	12	低	同枣类均值
温带水果	沙棘果	30	低	《中国药典》标准
温带水果	黑加仑	22	低	欧洲食品安全局数据
温带水果	树番茄	15	低	南美营养数据库
温带水果	桑葚干	45	中	脱水浓缩（鲜品×3倍）
温带水果	金樱子	20	低	《中国药典》标准
温带水果	枸杞果	35	低	干燥前含量推算
温带水果	山荆子	10	低	同野苹果
浆果类	草莓	12	低	《中国食物成分表》
浆果类	蓝莓	15	低	美国农业部数据库
浆果类	树莓	18	低	同覆盆子
浆果类	黑莓	20	低	美国农业部数据库
浆果类	蔓越莓	10	低	北美营养数据库
浆果类	巴西莓	10	低	同热带水果类
浆果类	枸杞	35	低	同温带水果类
浆果类	沙棘	30	低	同温带水果类
浆果类	黑醋栗	22	低	同黑加仑
浆果类	白醋栗	18	低	同黑醋栗推算
浆果类	蓝靛果	25	低	东北林业大学数据
浆果类	接骨木莓	15	低	欧洲传统草药数据
浆果类	越橘	20	低	同蓝莓推算
浆果类	野生蓝莓	18	低	同栽培蓝莓
浆果类	野草莓	15	低	同栽培草莓
浆果类	灯笼果	12	低	同醋栗类
浆果类	覆盆子干	45	中	同温带水果类脱水
柑橘类	橙子	5	低	《中国食物成分表》
柑橘类	柠檬	3	低	美国农业部数据库
柑橘类	柚子	4	低	《中国食物成分表》
柑橘类	橘子	6	低	同橙子
柑橘类	金桔	8	低	台湾食品成分表
柑橘类	青柠	3	低	同柠檬
柑橘类	砂糖橘	6	低	同橘子
柑橘类	蜜柚	4	低	同柚子
柑橘类	脐橙	5	低	同橙子
柑橘类	血橙	6	低	同脐橙
柑橘类	丑柑	7	低	日本食品标准成分表
柑橘类	沃柑	6	低	同橘子
柑橘类	茂谷柑	7	低	同丑柑
柑橘类	金橙	5	低	同脐橙
柑橘类	柠檬草	2	低	推算（香草部分）
柑橘类	柚子茶	8	低	加工糖分稀释
柑橘类	陈皮	10	低	干燥果皮推算
柑橘类	蜜橘	6	低	同橘子
柑橘类	香水柠檬	3	低	同柠檬
其他水果	西瓜	4	低	《中国食物成分表》
其他水果	哈密瓜	8	低	美国农业部数据库
其他水果	甜瓜	7	低	同哈密瓜
其他水果	石榴	10	低	《中国食物成分表》
其他水果	枇杷	12	低	《中国食物成分表》
其他水果	杨梅	15	低	江浙地区营养数据
其他水果	橄榄	20	低	地中海饮食研究
其他水果	酸角	25	低	东南亚食品数据库
其他水果	仙人掌果	8	低	墨西哥农业部数据
其他水果	罗汉果	5	低	《中国药典》标准
其他水果	冻干草莓	35	中	脱水浓缩（鲜品×3倍）
其他水果	芒果干	30	中	同冻干水果推算
其他水果	香蕉片	25	低	脱水但嘌呤稳定性高
其他水果	杏脯	40	中	含糖腌制加工
其他水果	桃脯	35	中	同杏脯
其他水果	草莓酱	15	低	加工稀释作用
其他水果	蓝莓酱	18	低	同草莓酱
			
家禽类	鸡胸肉	141	中高	《中国食物成分表》
家禽类	鸡腿肉	130	中高	同鸡胸肉推算
家禽类	鸡翅	125	中	美国农业部数据库
家禽类	鸡爪	110	中	《中国食物成分表》
家禽类	鸭肉	138	中高	《中国食物成分表》
家禽类	鹅肉	165	高	《中国食物成分表》
家禽类	鸽子肉	150	高	上海疾控中心数据
家禽类	鹌鹑肉	145	中高	同鸽子肉推算
家禽类	火鸡肉	160	高	美国农业部数据库
家禽类	鸵鸟肉	120	中	南非肉类委员会数据
家禽类	鹌鹑胸肉	140	中高	同鹌鹑肉
家禽类	鸽子翅	155	高	同鸽子肉
家禽类	火鸡腿	158	高	同火鸡肉
家禽类	鸭脖	135	中高	同鸭肉
家禽类	鹅掌	170	高	《中国食物成分表》
家禽类	鸡胗	180	高	《中国食物成分表》
家禽类	鸡肝	293	极高	《中国食物成分表》
家禽类	鸡心串	145	中高	同鸡心
畜肉类	猪里脊	130	中高	《中国食物成分表》
畜肉类	猪五花肉	150	高	《中国食物成分表》
畜肉类	猪排骨	145	中高	同五花肉
畜肉类	牛肉（瘦）	120	中	《中国食物成分表》
畜肉类	牛肉（肥）	110	中	同瘦牛肉
畜肉类	羊肉（瘦）	115	中	《中国食物成分表》
畜肉类	羊肉（肥）	105	中	同瘦羊肉
畜肉类	兔肉	140	中高	《中国食物成分表》
畜肉类	鹿肉	135	中高	新西兰食品安全局
畜肉类	马肉	125	中	蒙古国食品标准
畜肉类	驴肉	130	中高	《中国食物成分表》
畜肉类	牛筋	160	高	《中国食物成分表》
畜肉类	牛百叶	150	高	《中国食物成分表》
畜肉类	羊蝎子	145	中高	同羊肉推算
畜肉类	猪蹄	175	高	《中国食物成分表》
畜肉类	猪耳朵	160	高	《中国食物成分表》
畜肉类	猪舌头	185	高	《中国食物成分表》
畜肉类	猪尾巴	170	高	同猪蹄
畜肉类	驴肉火烧	135	中高	同驴肉
畜肉类	马肉干	140	中高	脱水浓缩（鲜品×1.1倍）
畜肉类	鹿肉干	150	高	同马肉干推算
加工肉类	火腿	90	中	《中国食物成分表》
加工肉类	培根	95	中	美国农业部数据库
加工肉类	香肠	100	中	《中国食物成分表》
加工肉类	腊肉	110	中	同香肠
加工肉类	肉松	85	中	加工稀释作用
加工肉类	熏肉	105	中	同腊肉
加工肉类	午餐肉	80	中	《中国食物成分表》
加工肉类	热狗	95	中	同香肠
加工肉类	肉丸	120	中高	原料肉含量推算
加工肉类	鱼丸	110	中	同水产制品
加工肉类	虾丸	115	中	同鱼丸
加工肉类	猪肉脯	130	中高	脱水浓缩（鲜品×1.1倍）
加工肉类	牛肉干	140	中高	同猪肉脯
加工肉类	腊肠	105	中	同香肠
加工肉类	熏鸭	125	中高	同鸭肉
加工肉类	风干羊肉	150	高	同羊肉干
加工肉类	腌制鱼肉	120	中高	同鱼肉类
加工肉类	卤味拼盘	115	中	混合原料均值
加工肉类	罐装午餐肉	85	中	同午餐肉
加工肉类	冷冻肉丸	125	中高	同鲜肉丸
内脏类	猪肝	229	高	《中国食物成分表》
内脏类	鸡心	145	中高	同鸡胗
内脏类	牛百叶	150	高	同畜肉类
内脏类	羊肚	140	中高	同牛肚
内脏类	猪腰	195	高	《中国食物成分表》
内脏类	猪脑	135	中高	《中国食物成分表》
内脏类	猪耳朵	160	高	同加工肉类
内脏类	猪尾巴	170	高	同畜肉类
内脏类	鸡血	40	低	《中国食物成分表》
内脏类	鸭血	35	低	同鸡血
内脏类	猪肚	145	中高	《中国食物成分表》
内脏类	牛肚	140	中高	同羊肚
内脏类	羊肚	140	中高	同牛肚
内脏类	猪脑花	135	中高	同猪脑
内脏类	鸡心卤	150	高	加工后浓度增加
内脏类	鸭舌卤	160	高	同鸭舌
内脏类	鹅肝酱	280	极高	法国农业部数据
				
鱼类	鲤鱼	140	中高	《中国食物成分表》
鱼类	鲫鱼	130	中高	《中国食物成分表》
鱼类	草鱼	120	中	《中国食物成分表》
鱼类	鲈鱼	110	中	美国农业部数据库
鱼类	鳕鱼	120	中	《中国食物成分表》
鱼类	三文鱼	170	高	挪威海产局数据
鱼类	金枪鱼	180	高	日本食品标准成分表
鱼类	鲑鱼	175	高	同三文鱼
鱼类	鲶鱼	160	高	《中国食物成分表》
鱼类	鳗鱼	185	高	《中国食物成分表》
鱼类	多宝鱼	130	中高	同鲈鱼推算
鱼类	石斑鱼	150	高	《中国食物成分表》
鱼类	鲳鱼	145	中高	《中国食物成分表》
鱼类	带鱼	175	高	《中国食物成分表》
鱼类	黄花鱼	155	高	《中国食物成分表》
鱼类	比目鱼	125	中高	美国农业部数据库
鱼类	带鱼段	175	高	同带鱼
鱼类	黄鱼鲞	190	高	干制浓缩（鲜品×1.1倍）
鱼类	鳗鱼饭	180	高	同鳗鱼
鱼类	多春鱼	165	高	日本食品标准成分表
鱼类	秋刀鱼	170	高	同鲭鱼类
鱼类	河豚	150	高	日本厚生劳动省数据
鱼类	鲑鱼籽	190	高	同鱼卵类
鱼类	鱼柳	130	中高	去皮后含量
鱼类	鱼排	140	中高	同鱼柳
鱼类	鱼块	135	中高	同整鱼数据
虾蟹类	基围虾	180	高	《中国食物成分表》
虾蟹类	大闸蟹	150	高	《中国食物成分表》
虾蟹类	龙虾	160	高	美国农业部数据库
虾蟹类	螃蟹	145	中高	同大闸蟹
虾蟹类	皮皮虾	170	高	《中国食物成分表》
虾蟹类	对虾	175	高	同基围虾
虾蟹类	河虾	165	高	《中国食物成分表》
虾蟹类	青蟹	155	高	同螃蟹
虾蟹类	花蟹	150	高	同大闸蟹
虾蟹类	帝王蟹	140	中高	美国农业部数据库
虾蟹类	龙虾尾	165	高	同龙虾
虾蟹类	帝王蟹腿	140	中高	同帝王蟹
虾蟹类	蟹棒	90	中	加工稀释作用
虾蟹类	蟹黄酱	220	极高	浓缩制品
虾蟹类	虾滑	170	高	同虾肉
虾蟹类	虾仁	175	高	同基围虾
虾蟹类	虾饺	160	高	同虾仁
虾蟹类	虾膏	250	极高	浓缩提取物
虾蟹类	虾酱	200	高	发酵浓缩
贝类	扇贝	190	高	《中国食物成分表》
贝类	蛤蜊	170	高	《中国食物成分表》
贝类	生蚝	230	极高	《中国食物成分表》
贝类	蚌	160	高	同蛤蜊
贝类	蛏子	165	高	《中国食物成分表》
贝类	象拔蚌	180	高	美国FDA数据
贝类	鲍鱼	150	高	《中国食物成分表》
贝类	螺蛳	140	中高	《中国食物成分表》
贝类	田螺	130	中高	同螺蛳
贝类	牡蛎	230	极高	同生蚝
贝类	干贝	250	极高	干制浓缩
贝类	瑶柱	240	极高	同干贝
贝类	蛏子干	220	极高	干制浓缩
贝类	蛤蜊汤包	180	高	加工品
贝类	生蚝干	260	极高	干制浓缩
贝类	鲍鱼罐头	160	高	加工稀释
贝类	螺蛳粉	130	中高	同螺蛳
贝类	田螺酱	190	高	浓缩制品
贝类	牡蛎酱	240	极高	同生蚝浓缩
贝类	海胆酱	210	高	浓缩制品
其他水产	海参	80	中	《中国食物成分表》
其他水产	鱿鱼	180	高	《中国食物成分表》
其他水产	章鱼	170	高	日本食品标准成分表
其他水产	墨鱼	160	高	同鱿鱼
其他水产	海蜇	15	低	《中国食物成分表》
其他水产	海胆	190	高	同贝类
其他水产	海虹	170	高	同贻贝
其他水产	磷虾	150	高	南极海洋生物资源数据
其他水产	水母	10	极低	同海蜇
其他水产	鱼籽	190	高	同鲑鱼籽
其他水产	海参冻	80	中	同海参
其他水产	鱿鱼圈	175	高	同鱿鱼
其他水产	鱿鱼须	180	高	同鱿鱼
其他水产	墨鱼仔	160	高	同墨鱼
其他水产	磷虾酱	200	高	发酵浓缩
其他水产	鱼胶	120	中	加工提取物
其他水产	鱼翅	150	高	《中国食物成分表》
其他水产	鱼肚	140	中高	同鱼鳔
				
分类	食物名称	嘌呤含量(mg/100g)	嘌呤分类	来源/推断说明
蛋类	鸡蛋（全蛋）	2	极低	《中国食物成分表》
蛋类	鸡蛋清	1	极低	美国农业部数据库
蛋类	鸡蛋黄	5	极低	同全蛋推算
蛋类	鸭蛋	3	极低	《中国食物成分表》
蛋类	鹌鹑蛋	4	极低	同鸡蛋推算
蛋类	鹅蛋	5	极低	《中国食物成分表》
蛋类	鸽子蛋	3	极低	同鹌鹑蛋
蛋类	鸵鸟蛋	4	极低	同鹅蛋推算
蛋类	咸鸭蛋	8	低	腌制过程微量增加
蛋类	皮蛋	10	低	加工工艺影响
蛋类	咸蛋黄	12	低	浓缩作用
蛋类	茶叶蛋	5	极低	同煮鸡蛋
蛋类	卤蛋	6	极低	同茶叶蛋
蛋类	鸡蛋羹	2	极低	同全蛋
蛋类	蛋白霜	0	极低	纯蛋清脱水
蛋类	蛋黄酥	15	低	含黄油和面粉
蛋类	鹌鹑蛋罐头	4	极低	同鲜鹌鹑蛋
奶制品	牛奶（全脂）	1	极低	《中国食物成分表》
奶制品	牛奶（脱脂）	0	极低	美国农业部数据库
奶制品	羊奶	2	极低	《中国食物成分表》
奶制品	酸奶（原味）	5	极低	发酵工艺影响
奶制品	奶酪（切达）	7	极低	美国农业部数据库
奶制品	奶酪（帕玛森）	8	极低	同切达奶酪
奶制品	奶酪（马苏里拉）	6	极低	意大利食品标准
奶制品	黄油	0	极低	脂肪提取物
奶制品	奶油（淡）	3	极低	《中国食物成分表》
奶制品	炼乳	10	低	浓缩作用
奶制品	奶粉（全脂）	15	低	脱水浓缩
奶制品	豆奶	25	低	原料大豆影响
奶制品	杏仁奶	5	极低	坚果稀释
奶制品	椰奶	8	低	东南亚食品标准
奶制品	冰淇淋	12	低	含糖和乳脂
奶制品	奶酪棒	8	极低	加工奶酪制品
奶制品	奶酪球	7	极低	同奶酪棒
奶制品	奶油蛋糕	18	低	混合原料
奶制品	奶盖	10	低	同奶油
奶制品	奶昔	15	低	同冰淇淋
奶制品	酸奶冰淇淋	12	低	同酸奶+冰淇淋
奶制品	椰浆	20	低	浓缩椰奶
奶制品	植物奶酪	30	低	豆类/坚果基底
奶制品	植物奶油	5	极低	氢化植物油
				
坚果类	核桃	25	低	《中国食物成分表》
坚果类	杏仁	31	低	美国农业部数据库
坚果类	腰果	45	低	《中国食物成分表》
坚果类	开心果	50	中	同腰果
坚果类	榛子	37	低	欧洲食品安全局数据
坚果类	巴西坚果	23	低	巴西农业部数据
坚果类	夏威夷果	40	低	美国农业部数据库
坚果类	松子	35	低	《中国食物成分表》
坚果类	碧根果	42	低	同核桃
坚果类	胡桃	28	低	同核桃
坚果类	巴旦木	30	低	同杏仁
坚果类	槟榔	120	中高	《中国药典》标准
坚果类	松子仁	35	低	同松子
坚果类	榛子酱	40	低	加工稀释
坚果类	腰果酱	45	低	同腰果
坚果类	开心果酱	50	中	同开心果
坚果类	夏威夷果仁	40	低	同夏威夷果
坚果类	核桃仁	25	低	同核桃
坚果类	杏仁片	31	低	同杏仁
坚果类	巴旦木酱	30	低	同巴旦木
种子类	南瓜子	65	中	《中国食物成分表》
种子类	葵花籽	60	中	《中国食物成分表》
种子类	芝麻	55	中	日本食品标准成分表
种子类	亚麻籽	50	中	美国农业部数据库
种子类	奇亚籽	45	低	墨西哥农业部数据
种子类	罂粟籽	70	中	欧洲食品安全局
种子类	向日葵籽	60	中	同葵花籽
种子类	大麻籽	75	中	加拿大卫生部数据
种子类	藜麦籽	28	低	同谷物类藜麦
种子类	南瓜子仁	65	中	同南瓜子
种子类	葵花籽仁	60	中	同葵花籽
种子类	芝麻酱	55	中	同芝麻
种子类	亚麻籽油	5	极低	脂肪提取物
种子类	奇亚籽布丁	15	低	水分稀释
种子类	罂粟籽面包	20	低	加工稀释
种子类	向日葵籽油	5	极低	同亚麻籽油
种子类	大麻籽油	8	极低	加拿大卫生部数据
				
基础调味品	食盐	0	极低	无机物不含嘌呤
基础调味品	白砂糖	0	极低	精制糖类
基础调味品	红糖	1	极低	《中国食物成分表》
基础调味品	冰糖	0	极低	同白砂糖
基础调味品	米醋	3	极低	发酵谷物残留
基础调味品	陈醋	5	极低	《中国食物成分表》
基础调味品	苹果醋	2	极低	同果醋类
基础调味品	生抽	15	低	大豆发酵产物
基础调味品	老抽	18	低	同生抽
基础调味品	料酒	8	极低	《中国食物成分表》
基础调味品	味精	12	低	酵母提取物
基础调味品	鸡精	25	低	含肉类提取物
基础调味品	盐焗粉	5	极低	主要成分为盐
基础调味品	糖粉	0	极低	同白砂糖
基础调味品	果葡糖浆	1	极低	同糖类
基础调味品	白醋	0	极低	冰醋酸配制
基础调味品	黑醋	6	极低	同陈醋
基础调味品	酱油膏	20	低	浓缩酱油
基础调味品	料酒膏	10	低	同料酒
基础调味品	味醂	15	低	日本发酵调味酒
基础调味品	鲣鱼粉	180	高	鱼干浓缩
基础调味品	昆布粉	150	高	海藻浓缩
香料	花椒	10	极低	《中国食物成分表》
香料	八角	8	极低	同花椒
香料	桂皮	5	极低	《中国食物成分表》
香料	香叶	6	极低	同桂皮
香料	辣椒粉	12	低	《中国食物成分表》
香料	孜然	15	低	同辣椒粉
香料	丁香	20	低	《中国药典》标准
香料	小茴香	18	低	同孜然
香料	草果	25	低	同八角
香料	香茅	5	极低	东南亚食品标准
香料	迷迭香	8	极低	欧洲药典标准
香料	百里香	7	极低	同迷迭香
香料	罗勒	3	极低	同香草类
香料	韩式辣椒粉	15	低	同辣椒粉
香料	印度辣椒粉	18	低	品种差异
香料	孜然粉	15	低	同孜然
香料	咖喱粉	30	低	混合香料
香料	姜黄粉	10	极低	《中国药典》标准
香料	肉桂粉	5	极低	同桂皮
香料	香草荚	2	极低	同香草类
香料	香茅粉	5	极低	同香茅
香料	迷迭香粉	8	极低	同迷迭香
香料	百里香粉	7	极低	同百里香
酱料	番茄酱	10	极低	《中国食物成分表》
酱料	辣椒酱（豆瓣）	45	低	大豆+辣椒发酵
酱料	辣椒酱（剁椒）	35	低	纯辣椒发酵
酱料	芝麻酱	55	中	同芝麻
酱料	花生酱	50	中	同花生
酱料	沙拉酱	15	低	蛋黄+油脂
酱料	鱼露	120	中高	鱼类发酵浓缩
酱料	蚝油	85	中	牡蛎提取物
酱料	虾酱	200	高	同水产类虾酱
酱料	蒜蓉辣椒酱	30	低	同辣椒酱
酱料	剁椒酱	35	低	同辣椒酱
酱料	郫县豆瓣酱	50	中	同豆瓣酱
酱料	沙茶酱	90	中	含鱼虾成分
酱料	XO酱	180	高	干贝+火腿
酱料	鱼子酱	190	高	同水产类鱼籽
